corpID,locale,corpName,zip,address,city,enrollment,teacher_count,locale_size
9875,Suburb,Rock Creek Community Academy,46495,11525 Hwy 31,Sellersburg,520,34,Large
1180,Rural,Rossville Con School District,46496,PO Box 11,Rossville,972,57,Distant
9465,Rural,Rural Community Schools Inc,46497,PO Box 85,Graysville,135,7,Distant
6995,Town,Rush County Schools,46498,330 W 8th St,Rushville,2065,131,Distant
8205,Town,Salem Community Schools,46499,500 N Harrison St,Salem,1834,113,Distant
4670,Suburb,School City of East Chicago,46500,1401 E 144th Street,East Chicago,3892,236,Large
4710,Suburb,School City of Hammond,46501,3751 East 171st Street,Hammond,13239,743,Large
4730,Suburb,School City of Hobart,46502,32 E 7th St,Hobart,4103,196,Large
7200,City,School City of Mishawaka,46503,1402 S Main St,Mishawaka,5423,304,Small
4760,Suburb,School City of Whiting,46504,1500 Center St,Whiting,1219,58,Large
4720,Suburb,School Town of Highland,46505,9145 Kennedy Ave,Highland,3271,176,Large
4740,Suburb,School Town of Munster,46506,8616 Columbia Ave,Munster,4133,194,Large
5400,Suburb,School Town of Speedway,46507,5335 W 25th St,Speedway,1794,116,Large
7230,Town,Scott County School District 1,46508,PO Box 9,Austin,1222,60,Distant
7255,Town,Scott County School District 2,46509,375 E McClain Ave,Scottsburg,2634,151,Distant
9485,City,SE Neighborhood Sch of Excellence,46510,1601 S Barth Ave,Indianapolis,589,39,Large
9985,Suburb,Seven Oaks Classical School,46511,200 E Association St,Bloomington,333,16,Midsize
3675,Town,Seymour Community Schools,46512,1638 S Walnut St,Seymour,4859,259,Distant
7285,Rural,Shelby Eastern Schools,46513,2451 N 600 E,Shelbyville,1144,81,Distant
7365,Town,Shelbyville Central Schools,46514,803 St Joseph St,Shelbyville,4071,216,Distant
3435,Rural,Shenandoah School Corporation,46515,5100 N Raider Rd,Middletown,1416,79,Distant
3055,Town,Sheridan Community Schools,46516,24795 N Hinesley Rd,Sheridan,1040,65,Fringe
5520,Rural,Shoals Community School Corp,46517,11741 Ironton Rd,Shoals,642,42,Distant
9315,City,Signature School Inc,46518,610 Main St,Evansville,390,31,Midsize
9760,City,Smith Academy for Excellence,46519,725 W Washington Blvd,Fort Wayne,82,7,Large
8625,Rural,Smith-Green Community Schools,46520,222 W Tulley St,Churubusco,1178,66,Distant
0035,Town,South Adams Schools,46521,1075 Starfire Way,Berne,1247,76,Distant
7205,City,South Bend Community School Corp,46522,215 Dr Martin Luther King Jr B,South Bend,17225,916,Midsize
4940,Rural,South Central Com School Corp,46523,9808 S 600 W,Union Mills,937,58,Distant
1600,Rural,South Dearborn Community Sch Corp,46524,6109 Squire Pl,Aurora,2345,157,Fringe
2765,Rural,South Gibson School Corporation,46525,1029 W 650 S,Fort Branch,2035,116,Distant
3190,Town,South Harrison Com Schools,46526,315 S Harrison Dr,Corydon,3074,178,Fringe
3415,Rural,South Henry School Corp,46527,6972 S SR 103,Straughn,743,52,Distant
4325,Rural,South Knox School Corp,46528,6116 E SR 61,Vincennes,1249,65,Distant
5255,Suburb,South Madison Com Sch Corp,46529,203 S Heritage Way,Pendleton,4404,222,Small
5845,Rural,South Montgomery Com Sch Corp,46530,PO Box 8,New Market,1716,102,Distant
5995,Rural,South Newton School Corp,46531,13232 S 50 E,Kentland,843,60,Remote
6705,Rural,South Putnam Community Schools,46532,3999 S US Hwy 231,Greencastle,1093,73,Distant
6865,Rural,South Ripley Com Sch Corp,46533,PO Box 690,Versailles,1130,74,Distant
